ts_ms,spike_ts,direction,session,entry,stop,target,spk_dz,spk_vr,spk_delta,accum_bars,exit,result_r,taker_ratio
1772108460000,1772108280000,Short,London,68204.9,68299.69608,68015.30784,-0.327730749875435,1.9457985398420516,51.494,15,TARGET,2.0,0.858419
1772111640000,1772111580000,Long,LondonNyOverlap,68000.4,67898.13799999999,68204.924,-4.897767763300023,2.5199010217919278,-65.149,27,STOP,-1.0,0.817038
1772113980000,1772113620000,Short,LondonNyOverlap,67957.4,68232.94271999999,67406.31456,-1.8231564185929505,1.8841067256854789,55.554,12,STOP,-1.0,1.530558
1772139540000,1772139000000,Long,NewYork,67386.5,67236.6676,67686.1648,-6.610472031570396,1.7491295891609788,1.179000000000002,10,STOP,-1.0,0.530355
1772142960000,1772142480000,Short,NewYork,67431.0,67582.72295999998,67127.55408000003,-3.818714270292408,2.7320628399162064,86.898,28,STOP,-1.0,0.824427
1772145960000,1772145840000,Short,Asia,67528.2,67642.77096,67299.05808,-1.6461452856930754,1.8151929240634141,27.58,16,TARGET,2.0,1.084741
1772149740000,1772149500000,Long,Asia,67451.1,67370.06079999999,67613.17840000003,-5.552890701459413,1.7742174066188807,-37.998999999999995,12,STOP,-1.0,0.903876
1772152140000,1772151780000,Long,Asia,67272.0,67101.37592,67613.24815999999,-1.870731040119364,2.9889180391930177,-34.30200000000001,12,STOP,-1.0,0.656399
1772158620000,1772158500000,Long,Asia,67333.0,67172.51896,67653.96208,1.3953274761666512,1.5647857019672886,-101.251,10,STOP,-1.0,0.377439
1772163900000,1772163840000,Short,Asia,67304.4,67415.78951999999,67081.62096,1.6660808524838417,1.8829547844730552,25.167000000000016,11,STOP,-1.0,1.861308
1772172900000,1772172720000,Long,Asia,67656.0,67567.30287999999,67833.39424000002,4.980594833163042,2.3745728748579804,-41.74400000000001,22,STOP,-1.0,1.10254
1772177460000,1772177340000,Long,Asia,67503.0,67378.15432,67752.69136,-0.28175471228897453,5.629446871744345,-73.374,10,TARGET,2.0,0.426058
1772181900000,1772181300000,Long,London,67962.3,67673.71767999999,68539.46464000003,5.274898582475212,1.5620484604126113,-86.65699999999998,10,STOP,-1.0,0.972995
1772184060000,1772184000000,Short,London,67974.2,68146.37352,67629.85296,10.0,2.272023729548494,93.95400000000001,14,TARGET,2.0,0.758091
1772222760000,1772222520000,Short,NewYork,65410.0,65607.84431999999,65014.31136000002,-10.0,2.9770070469915413,152.156,11,STOP,-1.0,0.565077
1772226120000,1772226060000,Long,NewYork,65564.9,65392.843839999994,65909.01232,-10.0,2.4619537113425536,-86.798,26,STOP,-1.0,1.024078
1772232060000,1772231640000,Long,Asia,65414.1,64823.699519999995,66594.90096,-10.0,32.42136908590455,-1393.595,12,TIMEOUT,0.0,0.919335
1772237700000,1772237580000,Short,Asia,65925.5,66042.792,65690.916,2.074365823712691,2.6796981413275183,105.57300000000001,47,TARGET,2.0,1.968945
1772242500000,1772242260000,Long,Asia,65791.9,65648.63904,66078.42192,-2.4784423069622554,2.484458377037631,-23.11,21,TIMEOUT,0.0,0.507179
1772247540000,1772247240000,Short,Asia,65926.9,66047.49575999999,65685.70848,6.917007363828945,2.798919540796797,72.455,41,TARGET,2.0,1.840406
1772269920000,1772269740000,Long,London,63432.0,63263.24888,63769.50224,-10.0,2.3243002992009543,-96.02199999999999,17,TARGET,2.0,1.556051
1772278620000,1772278020000,Short,London,64081.1,64277.18064,63688.93872,-0.04751854513565329,3.0419382634770056,100.69600000000003,15,TIMEOUT,0.0,1.38211
1772284620000,1772284500000,Short,LondonNyOverlap,64039.5,64143.774,63830.952000000005,-2.1745003938397245,2.090197366245934,60.66699999999999,10,STOP,-1.0,1.2761
1772298360000,1772297760000,Short,NewYork,64963.1,65179.702079999995,64529.895840000005,10.0,1.718794478352006,60.666,10,STOP,-1.0,1.323144
1772300820000,1772300520000,Long,NewYork,65084.1,64846.0816,65560.13680000001,10.0,3.769386197015679,-145.518,15,TARGET,2.0,0.678238
1772325900000,1772325660000,Long,Asia,66680.9,66560.60888,66921.48223999998,-2.4761350934543613,2.268157515912754,-74.49800000000002,15,STOP,-1.0,0.621534
1772341740000,1772341620000,Long,Asia,67332.9,67109.7692,67779.16159999999,-2.2272071334138634,1.5390247710064857,-79.42300000000002,10,STOP,-1.0,0.883496
1772359380000,1772359200000,Short,London,66282.6,66497.1552,65853.48960000003,-10.0,1.961162927283281,-15.823000000000008,11,STOP,-1.0,1.059098
1772361480000,1772361300000,Short,London,66580.5,66773.57616,66194.34768,-6.8925851499155755,5.823450653679796,306.182,11,TIMEOUT,0.0,1.44336
1772365560000,1772365440000,Long,London,66456.6,66290.9248,66787.95040000003,-10.0,3.4383440545788364,-95.99400000000001,19,STOP,-1.0,0.516132
1772368680000,1772368620000,Long,London,66289.3,66158.63072,66550.63856,-10.0,4.437770640145197,-96.251,10,STOP,-1.0,0.775284
1772371560000,1772371200000,Long,LondonNyOverlap,66349.0,66047.12,66952.76000000001,-10.0,6.2205605226775775,-222.488,15,TARGET,2.0,1.891
1772422740000,1772422620000,Short,Asia,66837.5,67068.51191999999,66375.47616000002,5.772529667766867,5.716416179680958,194.784,10,TIMEOUT,0.0,0.682539
1772427600000,1772427540000,Short,Asia,66764.0,66885.86591999998,66520.26816000004,5.4384025623246925,4.101641822499265,35.36700000000002,16,TARGET,2.0,1.461234
1772442120000,1772442060000,Short,London,66188.1,66434.50511999999,65695.28976000004,0.2951644109765873,2.946460215540962,127.41500000000002,10,STOP,-1.0,1.23826
1772449200000,1772449140000,Short,London,66220.1,66343.33224,65973.63552000001,-0.5990710202287686,1.5032267668116952,38.257999999999996,16,TARGET,2.0,0.687291
1772458020000,1772457660000,Short,LondonNyOverlap,65802.9,66124.15703999999,65160.38592,-3.589145236145578,1.6068706957048227,79.65800000000002,11,STOP,-1.0,1.460229
1772479980000,1772479860000,Long,NewYork,68883.0,68621.35896,69406.28208,10.0,1.6699027522580454,102.69200000000001,10,STOP,-1.0,0.68491
1772489100000,1772489040000,Long,Asia,69366.7,69239.46407999999,69621.17184000001,10.0,2.1463636532283745,-65.56900000000002,26,STOP,-1.0,0.49355
1772492400000,1772492340000,Short,Asia,69385.1,69476.43671999998,69202.42656000005,10.0,5.389044303006505,45.636000000000024,33,TARGET,2.0,2.196806
1772511540000,1772511360000,Long,Asia,68343.1,68195.49992,68638.30016000001,-8.878452056661338,1.5766428509286672,-24.756000000000007,36,STOP,-1.0,1.335336
1772513520000,1772513460000,Long,Asia,68093.5,67965.584,68349.332,-5.225237321740237,2.971269026024625,-71.93299999999999,11,TARGET,2.0,0.403506
1772538540000,1772538480000,Short,London,67024.2,67188.50783999999,66695.58432000001,-5.404455614467446,1.5522138363956195,95.84,10,STOP,-1.0,0.822507
1772543700000,1772543580000,Long,LondonNyOverlap,67119.8,66946.49992,67466.40016,-4.833563846839558,2.8069336661420694,-120.05899999999997,10,STOP,-1.0,0.750268
1772548320000,1772547720000,Short,LondonNyOverlap,67118.8,67373.75591999998,66608.88816000005,-5.002535450436372,2.2870099856530177,67.35300000000001,11,TARGET,2.0,0.775371
