id,ts_ms,session,open,high,low,close,volume,bar_delta,cvd_slope,obi_l5,dz,vr,stacked_imb,absorption,thin_above,thin_below,bid_wall,ask_wall,vpin,oi_momentum,vwap,regime,atr,operative,symbol,asian_high,asian_low,prev_day_high,prev_day_low,swing_high_50,swing_low_50,equal_high,equal_low,obi_fast,obi_slow,liq_ratio,spread_ticks,cvd_divergence,sweep_confirmed,obi_l10,obi_l20,datetime_utc
88197,1779921420000,OffHours,74567.2,74592.5,74541.6,74592.5,37.867,-3.433,,,,0.2126,,,,,,,,,75258.7,,62.704,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:37:00
88198,1779921480000,OffHours,74592.4,74592.5,74563.5,74574.5,22.463,-5.069,,,,0.1291,,,,,,,,,75258.6,,60.2965,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:38:00
88199,1779921540000,OffHours,74574.6,74596.7,74574.5,74595.4,25.323,6.369,,,,0.1477,,,,,,,,,75258.5,,57.5754,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:39:00
32108,1779921600000,OffHours,74595.4,74638.7,74576.1,74592.1,286.928,63.022,,,,0.4243,,,,,,,,,75258.4,,146.932,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:40:00
88200,1779921600000,OffHours,74595.4,74630.4,74595.3,74629.6,53.661,25.291,,,,0.3274,,,,,,,,,75258.2,,55.97,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:40:00
88201,1779921660000,OffHours,74629.6,74629.7,74584.2,74594.3,25.589,-10.495,,,,0.1677,,,,,,,,,75258.1,,55.2221,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:41:00
88202,1779921720000,OffHours,74594.2,74623.7,74576.1,74623.7,78.735,6.065,,,,0.5435,,,,,,,,,75257.7,,54.6777,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:42:00
88203,1779921780000,OffHours,74623.8,74638.7,74622.7,74628,40.139,6.223,,,,0.3192,,,,,,,,,75257.6,,51.915,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:43:00
88204,1779921840000,OffHours,74628,74628,74585,74592.1,88.804,35.938,,,,0.7458,,,,,,,,,75257.1,,51.2782,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:44:00
32109,1779921900000,OffHours,74592.1,74627.7,74494.4,74497.4,353.148,-107.552,,,,0.5275,,,,,,,,,75256.6,,145.958,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-27 22:45:00
