id,ts_ms,session,open,high,low,close,volume,bar_delta,cvd_slope,obi_l5,dz,vr,stacked_imb,absorption,thin_above,thin_below,bid_wall,ask_wall,vpin,oi_momentum,vwap,regime,atr,operative,symbol,asian_high,asian_low,prev_day_high,prev_day_low,swing_high_50,swing_low_50,equal_high,equal_low,obi_fast,obi_slow,liq_ratio,spread_ticks,cvd_divergence,sweep_confirmed,obi_l10,obi_l20,datetime_utc
141250,1778748000000,London,673.68,673.68,673.3,673.39,303.71,-63.65,,,,0.9078,,,,,,,,,671.202,,0.388534,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:40:00
141251,1778748060000,London,673.4,673.5,673.03,673.05,354.72,23.02,,,,1.0603,,,,,,,,,671.205,,0.394353,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:41:00
141252,1778748120000,London,673.04,673.38,673.04,673.19,168.54,-3.62,,,,0.5066,,,,,,,,,671.207,,0.39047,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:42:00
141253,1778748180000,London,673.19,673.44,673.1,673.23,431.4,162.68,,,,1.3001,,,,,,,,,671.212,,0.386865,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:43:00
141254,1778748240000,London,673.2,673.32,673.08,673.2,356.83,-215.75,,,,1.0837,,,,,,,,,671.216,,0.376375,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:44:00
42727,1778748300000,London,673.2,673.51,672.67,672.67,1282.57,-258.65,,,,0.9205,,,,,,,,,671.223,,1.02923,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:45:00
141255,1778748300000,London,673.2,673.32,673.1,673.11,124.46,-25.82,,,,0.3767,,,,,,,,,671.217,,0.365205,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:45:00
141256,1778748360000,London,673.11,673.43,673.1,673.32,178.61,26.27,,,,0.5383,,,,,,,,,671.219,,0.362691,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:46:00
141257,1778748420000,London,673.31,673.51,673.31,673.32,536.08,-207.16,,,,1.5612,,,,,,,,,671.225,,0.35107,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:47:00
141258,1778748480000,London,673.31,673.32,673.12,673.12,196.43,48.73,,,,0.5653,,,,,,,,,671.227,,0.340279,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:48:00
141259,1778748540000,London,673.11,673.22,672.67,672.67,246.99,-100.67,,,,0.7052,,,,,,,,,671.229,,0.355259,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:49:00
42728,1778748600000,London,672.66,673.5,672.62,673.47,923.59,204.11,,,,0.6625,,,,,,,,,671.232,,1.01857,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:50:00
141260,1778748600000,London,672.66,673.07,672.62,673.07,195.66,69.14,,,,0.5529,,,,,,,,,671.231,,0.362026,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:50:00
141261,1778748660000,London,673.07,673.07,672.93,673.03,132.37,-15.19,,,,0.3973,,,,,,,,,671.232,,0.346167,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:51:00
141262,1778748720000,London,673.03,673.13,673.02,673.12,169.32,-58.36,,,,0.505,,,,,,,,,671.234,,0.329298,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:52:00
141263,1778748780000,London,673.13,673.42,673.12,673.42,166.44,141.16,,,,0.4906,,,,,,,,,671.236,,0.327206,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:53:00
141264,1778748840000,London,673.41,673.5,673.4,673.47,259.8,67.36,,,,0.754,,,,,,,,,671.239,,0.310977,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-14 08:54:00
