ts_ms,spike_ts,direction,session,entry,stop,target,spk_dz,spk_vr,exit,result_r,m_taker,m_oi_d,m_tt
1705646220000,1705646160000,Short,Asia,41297.3,41364.5652,41162.769600000014,9.56248146412959,4.315336492475231,STOP,-1.0,1.39782799,-75.05000000000291,1.28481555
1705652340000,1705651860000,Long,London,41230.5,41168.0392,41355.4216,0.46391101786989164,2.5167489358474637,TARGET,2.0,0.49291552,-4.0090000000054715,1.27397125
1705665900000,1705665300000,Short,London,41430.9,41531.49864,41229.70272000001,7.974509365637101,1.9379806796449766,TIMEOUT,0.0,0.98573303,-30.148000000001048,1.28702826
1705668000000,1705667700000,Short,London,41364.5,41443.128,41207.244000000006,6.6647337566954565,3.3979058320407454,STOP,-1.0,1.16193933,-0.4510000000009313,1.28401065
1705669560000,1705669380000,Short,LondonNY,41274.0,41395.89024,41030.21952,4.8320783561606735,1.8848920873860884,STOP,-1.0,1.70491373,69.75400000000081,1.28770546
1705674780000,1705674720000,Long,LondonNY,41094.6,40917.24,41449.32,-3.0893810112007847,7.736156483862333,STOP,-1.0,0.73091903,141.39999999999418,1.28576161
1705675740000,1705675200000,Long,LondonNY,40966.9,40882.46784,41135.76432000001,-4.576883598502493,2.7426565285319473,STOP,-1.0,1.10660966,116.29200000000128,1.29196807
1705704720000,1705704660000,Short,Asia,41644.9,41743.568159999995,41447.563680000014,10.0,3.5543655992120784,STOP,-1.0,1.87733531,76.36900000000605,1.31957346
1705705200000,1705705020000,Short,Asia,41687.6,41781.69864,41499.40271999999,10.0,2.4851451966547295,TARGET,2.0,1.64346338,-129.0219999999972,1.32113287
1705705560000,1705705500000,Long,Asia,41668.0,41593.39864,41817.20272,10.0,4.43913636422815,STOP,-1.0,0.96538096,210.09599999999045,1.31925451
1705708920000,1705708800000,Short,Asia,41612.5,41718.448079999995,41400.60384000001,0.1544319565364826,1.5440711211551195,TIMEOUT,0.0,1.13430633,10.78200000000652,1.31597343
1705710420000,1705710000000,Long,Asia,41617.0,41502.871119999996,41845.25776000001,-1.8499613626577178,4.767719659413063,STOP,-1.0,1.02555562,-42.93400000000838,1.31756704
