tid,ts,entry,side,risk,r,oos
283,1776061500000,82.2123,long,0.1233184499999993,1.1160831180812485,True
284,1776084900000,82.45929999999998,long,0.1236889500000018,-1.4999999999999927,True
285,1776087600000,82.69909999999999,short,0.12404865000000598,1.9447573644212635,True
286,1776150900000,86.0943,short,0.12914145000000588,1.3901909708592683,True
287,1776306600000,85.3994,short,0.12809910000000002,-1.5,True
288,1776393000000,87.588,long,0.1313820000000021,1.9136293240593358,True
289,1776430200000,88.8775,short,0.13331624999999292,-1.5000000000000266,True
290,1776436800000,90.00489999999999,long,0.22546449603511576,-1.2993982475603894,True
291,1776585900000,84.725,long,0.1270875000000018,1.3352763129886214,True
292,1776669900000,85.3121,long,0.12796815000000095,-1.4999999999999964,True
293,1776691800000,84.84800000000001,long,0.12727200000000494,2.0115627675907106,True
294,1776698400000,85.3825,short,0.1663192050824307,-1.3850239361609635,True
295,1776783600000,85.58000000000001,long,0.1501123418244248,2.271957458101308,True
296,1776823800000,86.7619,short,0.1301428499999986,-1.5000000000000053,True
297,1776825900000,87.4846,short,0.13586031274908805,-1.4829478798652362,True
298,1776954900000,86.01169999999999,short,0.12901755000000037,1.693901668688666,True
299,1777032000000,86.3758,short,0.1295637000000056,-1.4999999999999782,True
300,1777045500000,86.3906,short,0.12958589999999504,-1.500000000000019,True
301,1777383900000,83.91300000000001,short,0.1258694999999932,1.5309715970703224,True
302,1777386600000,83.2521,short,0.12487815000000069,1.6590453724266405,True
303,1777481400000,82.97959999999999,long,0.12446939999999529,1.6543626348823988,True
304,1777605600000,84.3042,short,0.12645630000000097,1.3198397559608812,True
305,1777642200000,84.53190000000001,short,0.12679785000000265,1.0780604982834605,True
306,1777845600000,84.5419,short,0.1268128499999932,1.2489063722925082,True
307,1777858200000,84.37190000000001,short,0.12655784999999753,1.912358734950916,True
308,1777890900000,83.8567,long,0.135246828688949,-1.465020330677365,True
309,1777908300000,84.58449999999999,short,0.15003636655026753,2.2744960053490466,True
310,1777956300000,84.8416,short,0.12726240000000644,-1.4999999999999747,True
311,1778528400000,98.1918,short,0.1521685537175017,2.241886749657117,True
312,1778829600000,91.6108,short,0.1374162000000041,1.679996121771807,True
313,1778981400000,85.9143,short,0.12887145000000544,1.3898115906118513,True
314,1779359100000,85.7238,long,0.12858570000000213,1.54809122720826,True
315,1779384300000,87.8049,short,0.15059136351047187,-1.4373004763677608,True
316,1779456600000,87.09969999999998,long,0.1306495500000011,1.4794914090270956,True
317,1779475500000,84.6079,long,0.1494601677522951,2.27356401702901,True
318,1779548400000,84.05099999999999,long,0.12607649999999637,1.8229996964312398,True
319,1779568200000,85.3724,short,0.1280586000000028,-1.4999999999999891,True
320,1779618900000,86.39529999999999,short,0.12959295000000282,-1.4999999999999891,True
321,1779658800000,84.0779,short,0.1261168500000025,1.9170763269548248,True
322,1779660600000,85.22810000000001,short,0.14802574147360303,2.269693840675093,True
323,1779685500000,86.0171,short,0.12902565000000266,-1.4999999999999898,True
324,1779788700000,84.2177,long,0.1263265500000017,1.2762151938688195,True
325,1779792900000,85.5752,short,0.128362800000005,1.6387919698470863,True
326,1779884400000,84.6093,short,0.12691395000000227,1.823022482856716,True
327,1779919800000,82.33,long,0.14525810357152125,-1.425088160190644,True
328,1779975900000,80.67490000000001,short,0.12101235000000088,-1.4999999999999964,True
329,1779978000000,80.88069999999999,long,0.18092719042492433,0.6610040050869272,True
330,1780080600000,81.7722,long,0.12865744548834357,2.2457676866204332,True
331,1780269600000,82.321,long,0.12348149999999691,-1.5000000000000124,True
332,1780294800000,81.3955,long,0.12209325000000604,-1.4999999999999754,True
333,1780364100000,80.17349999999999,long,0.12026025000000118,1.954410019086061,True
334,1780378200000,80.1606,short,0.12024089999999887,1.7427384637108596,True
335,1780563900000,68.36359999999999,long,0.18787131732959494,-1.2729139324128385,True
336,1780665000000,66.13900000000001,long,0.20613758674386418,1.7789884378800174,True
337,1780688700000,63.7844,short,0.31076633266430775,1.453645740699856,True
338,1780923300000,67.2812,short,0.14374089695145642,2.3127708914389085,True
339,1780938000000,66.6249,long,0.13002492233788132,2.2950396007102345,True
340,1781098200000,64.7527,short,0.13615005463942964,-1.3566985347792546,True
341,1781142000000,65.0031,short,0.12426050228638985,-1.3923396743370464,True
342,1781199000000,66.6237,short,0.14524041536674304,-1.3440349221931622,True
343,1781272800000,66.98660000000001,short,0.12275140062818934,2.281716217795729,True
344,1781276700000,68.5081,short,0.16495193185328105,-1.3114911988160385,True
345,1781444100000,67.5096,long,0.10126440000000514,1.2715169464817482,True
346,1781472300000,69.06569999999999,long,0.11292043516678518,1.9484893379440698,True
347,1781529600000,74.1268,short,0.1388031135125658,2.2863828897662097,True
348,1781630100000,73.2408,short,0.1144257564431399,-1.480054506148674,True
349,1781794200000,70.70179999999999,long,0.17207339426488488,2.335647340364162,True
350,1781932200000,72.40020000000001,short,0.1347516833908884,2.2850855791093507,True
