bar_ts,side,lvl,atr,r,oos,kind,regime,delta_at_fill,delta_norm,fill_found,ticks_until_fill,fill_frac
1769907600000,short,78860.0,561.7042693106629,0.5124229604612635,False,H5,chop,0.502,0.0009,True,305,0.01
1769914800000,short,78900.0,473.71941541160635,0.6604187119107651,False,H5,chop,-0.777,-0.0016,True,309,0.017
1769990400000,long,76930.0,691.2003464328106,-1.2317167868732,False,H5,trend,6.002,0.0087,True,4813,0.063
1770003900000,long,74600.0,756.8061005215303,18.267787919070273,False,H5,trend,-21.484,-0.0284,True,129,0.001
1770131700000,long,77120.0,427.8969634047587,-1.3033445930703345,False,H5,trend,-4.054,-0.0095,True,761,0.007
1770139800000,short,75890.0,544.0214832266689,2.319480379723787,False,H5,trend,-29.418,-0.0541,True,12442,0.171
1770165900000,short,76040.0,502.99127510447363,-1.1803332595959306,False,H5,chop,-7.495,-0.0149,True,1964,0.104
1770228000000,long,72530.0,770.2777056319596,0.6582509479168276,False,H5,chop,0.846,0.0011,True,1106,0.008
1770257700000,long,71970.0,637.6556485788308,-1.3371193625649291,False,H5,chop,-43.99,-0.069,True,2741,0.024
1770291000000,long,70010.0,549.1849129763544,-1.2176059708106397,False,H5,chop,207.174,0.3772,True,12154,0.126
1770341400000,long,64050.0,1212.9151066901425,0.701966446547079,False,H5,chop,-0.219,-0.0002,True,1358,0.015
1770348600000,short,64690.0,1031.7385416291786,-1.1017277765087603,False,H5,trend,2.519,0.0024,True,1281,0.027
1770467400000,short,69340.0,568.9266996131219,-1.0671611425510854,False,H5,chop,-2.822,-0.005,True,1051,0.01
1770653700000,long,69150.0,522.9789980408141,0.6845525201486123,False,H5,chop,70.873,0.1355,True,3053,0.09
1770661800000,long,70200.0,529.9263025949984,0.5879339196497282,False,H5,chop,-0.541,-0.001,True,3229,0.088
1770738300000,short,69270.0,450.26200107738805,-1.1602653581483258,False,H5,chop,-124.419,-0.2763,True,14590,0.268
1770825600000,long,66460.0,627.2212018369062,-1.082008169330442,False,H5,trend,32.377,0.0516,True,2800,0.029
