bar_ts,side,lvl,atr,r,oos,kind,regime,n_m15,last_m15_h,n_h1,last_h1_h,n_h4,last_h4_h,bounce_h1,bounce_h4,zona
1753128000000,long,116730.0,377.6215785150327,1.619293811930664,False,H5,chop,14,0.25,4,19.0,3,5.0,4,3,confirmada
1753149600000,short,117780.0,376.02594184391603,1.013476579924466,False,H5,chop,80,0.25,44,2.0,19,1.5,10,5,agotada
1753306200000,long,117470.0,369.88011167857826,1.412018671433819,False,H5,chop,18,0.25,18,1.5,11,1.375,12,9,agotada
1753455600000,long,114960.0,459.68602817922954,10.439561586638707,False,H5,chop,19,0.25,7,6.0,3,1.75,7,2,confirmada
1753821900000,long,117170.0,360.47330411253085,1.4337455996958528,False,H5,chop,18,0.25,8,1.75,5,1.1875,7,4,agotada
1753887600000,short,118700.0,362.8384012709164,2.4773799494523523,False,H5,chop,7,0.25,20,5.0,15,1.75,12,8,agotada
1753902900000,long,116190.0,405.7528355702462,1.8483103706987825,False,H5,chop,2,0.25,1,1.25,0,0.0,0,0,virgen
1753983000000,long,117790.0,311.2912786740001,-1.5000000000000067,False,H5,chop,43,0.25,36,2.5,16,1.375,17,11,agotada
1754037000000,long,114360.0,371.03414458567727,1.5756849714353094,False,H5,chop,8,0.25,3,1.5,2,1.125,2,1,fresca
1754056800000,long,114270.0,469.4742027708988,-1.316515709748205,False,H5,trend,11,0.25,6,3.0,3,1.5,6,2,confirmada
1754405100000,long,112730.0,379.3463473949501,10.635916200952071,False,H5,chop,2,0.25,0,0.0,4,15.6875,0,3,confirmada
1754496000000,short,115400.0,363.15953441646946,-1.4475415072753919,False,H5,chop,4,0.25,10,2.0,4,10.0,8,4,confirmada
1754596800000,short,117400.0,303.4253864115848,4.902867688813021,False,H5,chop,2,0.25,0,0.0,0,0.0,0,0,virgen
1754667900000,long,115880.0,267.73079231532665,6.407191347370603,False,H5,chop,11,0.25,26,21.75,15,5.9375,9,4,agotada
1754886600000,short,121710.0,391.6574334025061,-1.3050739292832771,False,H5,chop,9,0.25,2,1.5,1,1.125,0,0,fresca
1754922600000,long,119870.0,416.4803484359126,1.3756027547756662,False,H5,chop,57,0.25,38,1.5,17,3.625,3,2,agotada
1755064800000,long,119050.0,281.5055579542959,8.870802383724435,False,H5,chop,61,0.25,30,2.0,16,1.5,11,6,agotada
1755102600000,short,121560.0,482.1250418428906,-1.2925572994994539,False,H5,chop,10,0.25,3,1.5,4,1.125,2,2,confirmada
1755186300000,long,118050.0,641.4391203707067,-1.2283307979461915,False,H5,chop,9,0.25,3,1.75,4,12.9375,2,4,confirmada
1755701100000,short,113470.0,393.22639450883514,-1.1998149365947894,False,H5,chop,87,0.25,47,1.75,19,1.6875,11,4,agotada
1755714600000,long,113270.0,439.9366755589025,2.479737206085754,False,H5,chop,76,0.25,25,2.5,7,1.625,14,4,agotada
