sym,ts,ts_ms,session,direction,close,range_bars,range_pct,cvd_rng,vr,ext_pct,pre_cvd_ok,score,result_r,bars_held,reason,cum_delta,last5_delta,avg_obi,avg_vpin,expansion_n,stacked_bear,stacked_bull,oi_mom_n,vr_brk,dz_dir,obi_brk,flags
BNBUSDT,06-07 19:17,1780859820000,NewYork,Short,589.18,15,0.309,-264.0,2.14,1.003,True,3.0,-0.222,60,TIMEOUT,-592.0,-43.0,-0.115,0.273,9,13,12,0,0.77,0.17,0.99,presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(0.8x)
BNBUSDT,06-07 21:12,1780866720000,NewYork,Long,595.19,15,0.323,265.0,2.44,0.066,True,3.0,-1.0,29,STOP,526.0,55.0,0.001,0.374,14,9,16,3,2.44,-0.81,-0.93,presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.4x)
BNBUSDT,06-08 08:00,1780905600000,London,Short,595.63,20,0.297,-94.0,2.28,0.079,True,4.0,-0.138,60,TIMEOUT,-43.0,-71.0,-0.041,0.339,0,15,10,14,2.28,-1.38,0.75,rango_limpio|presion_vendedora_leve|pre_cvd_ok|vr_bajo(2.3x)
BNBUSDT,06-08 09:01,1780909260000,London,Long,596.6,15,0.421,200.0,2.6,0.077,True,2.0,0.902,60,TIMEOUT,-618.0,742.0,0.047,0.344,3,12,13,10,2.6,0.52,-0.542,pre_cvd_ok|dz_ok(0.5)|vr_bajo(2.6x)
BNBUSDT,06-08 10:18,1780913880000,London,Short,597.88,15,0.248,-530.0,4.5,0.144,True,4.0,1.0,16,STOP,-716.0,-397.0,0.125,0.24,10,14,11,12,4.5,-3.67,0.716,presion_vendedora_fuerte|pre_cvd_ok|vr_ok(4.5x)
BNBUSDT,06-08 11:35,1780918500000,London,Long,603.77,15,0.404,1130.0,3.64,0.113,True,3.0,-1.0,27,STOP,996.0,862.0,0.009,0.316,17,11,14,1,3.64,-3.65,0.083,presion_compradora_fuerte|pre_cvd_ok|vr_ok(3.6x)|obi_alineado|VPIN_TOXICO
BNBUSDT,06-08 12:36,1780922160000,London,Long,601.9,15,0.449,902.0,2.78,0.07,False,0,-1.0,56,STOP,102.0,-288.0,-0.035,0.274,13,12,13,0,2.78,-2.57,-0.827,presion_compradora_leve|PRE_CVD_CONTRA|vr_bajo(2.8x)|VPIN_TOXICO
BNBUSDT,06-08 14:56,1780930560000,LondonNyOverlap,Long,602.86,15,0.31,46.0,3.69,0.056,True,4.0,0.765,60,TIMEOUT,238.0,53.0,0.004,0.276,0,13,12,4,3.69,-5.12,-0.449,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_ok(3.7x)|VPIN_TOXICO
BNBUSDT,06-08 16:18,1780935480000,LondonNyOverlap,Long,607.54,15,0.395,211.0,6.49,0.097,True,3.0,-1.0,34,STOP,-290.0,87.0,-0.074,0.33,8,13,12,15,6.49,-4.99,-0.514,pre_cvd_ok|vr_fuerte(6.5x)
BNBUSDT,06-08 18:00,1780941600000,NewYork,Long,608.46,15,0.521,137.0,3.02,0.021,True,3.0,-0.148,60,TIMEOUT,-137.0,194.0,-0.004,0.282,12,9,16,0,3.02,1.29,-0.113,pre_cvd_ok|dz_ok(1.3)|vr_ok(3.0x)
