num,fecha,symbol,session,range_bars,range_pct,range_cvd,pre_cvd_flip,cvd_flip_ratio,vr_at_breakout,breakout_delta,close_loc,bear_body,upper_wick,entry_price,stop_price,target_price,rr,result_r,exit_reason,bars_held,exit_price,pnl_usd,balance_after
49,2026-02-19 11:27,BTCUSDT,London,8,0.0007881953168933601,12.832000000000003,-31.769999999999996,2.475841645885286,2.9154866404595174,-48.782000000000004,0.293,0.707,0.0,66825.7,66881.7,66776.3,0.8821428571427532,0.882,TARGET,8,66776.3,9.16,528.33
50,2026-02-19 13:38,ETHUSDT,LondonNyOverlap,8,0.0027401368000373183,2548.3379999999993,-2417.128999999999,0.9485119320906409,3.409984382325916,-7991.575000000001,0.094,0.884,0.021,1927.94,1935.39,1924.7899999999997,0.42281879194634886,0.423,TARGET,2,1924.79,4.47,532.8
51,2026-02-20 11:44,SOLUSDT,London,8,0.004064554692169795,19177.299999999996,-20023.149999999998,1.0441068346430415,2.761726312054425,-6140.040000000001,0.071,0.821,0.107,83.42,83.89,83.21,0.4468085106383159,-0.787,TIME_STOP,30,83.79,-8.39,524.42
52,2026-02-20 13:24,ETHUSDT,LondonNyOverlap,8,0.003689466470169867,956.7549999999995,-3944.125,4.1223981060982196,3.8281405094245513,-491.5,0.241,0.665,0.094,1938.89,1947.8,1933.4800000000002,0.6071829405162674,0.607,TARGET,11,1933.48,6.37,530.78
53,2026-02-21 15:46,BNBUSDT,LondonNyOverlap,8,0.0019193553504013776,42.95000000000009,-60.400000000000034,1.4062863795110572,5.364788212027036,-547.8499999999999,0.0,0.991,0.009,629.28,630.84,628.42,0.5512820512820391,0.551,TARGET,4,628.42,5.85,536.63
54,2026-02-22 08:23,BTCUSDT,London,8,0.0005031579783641642,7.226000000000005,-16.835,2.329781345142539,10.400196194794473,-313.286,0.003,0.997,0.0,67933.8,67978.5,67910.1,0.5302013422818486,0.53,TARGET,3,67910.1,5.69,542.32
55,2026-02-22 12:05,XRPUSDT,LondonNyOverlap,8,0.003384094754653227,89891.00000000004,-159891.2,1.7787231202233809,4.702161721284681,-33647.0,0.067,0.8,0.133,1.4172,1.4231,1.4134999999999998,0.6271186440678387,0.627,TARGET,1,1.4135,6.8,549.12
56,2026-02-23 14:36,BTCUSDT,LondonNyOverlap,8,0.004756170525375078,133.19999999999993,-67.24799999999999,0.504864864864865,3.7258610526287073,-40.42500000000001,0.032,0.968,0.0,65870.0,66192.0,65564.0,0.9503105590062112,0.95,TARGET,6,65564.0,10.43,559.55
57,2026-02-24 13:16,ETHUSDT,LondonNyOverlap,8,0.0020821461447420083,2714.9940000000006,-3341.4120000000003,1.2307253717687772,3.3414741497908698,-2079.532,0.272,0.681,0.047,1822.6,1826.83,1819.23,0.7966903073285759,0.797,TARGET,6,1819.23,8.92,568.47
58,2026-02-25 10:54,XRPUSDT,London,8,0.002254381499527382,36515.300000000025,-176923.89999999997,4.845199135704755,2.6835766317249408,-265990.89999999997,0.077,0.923,0.0,1.3739,1.3781,1.3719,0.4761904761904535,0.476,TARGET,11,1.3719,5.41,573.88
59,2026-02-26 10:30,BNBUSDT,London,8,0.0019600031869969,56.62999999999997,-418.17999999999995,7.384425216316443,6.335985403784212,-742.29,0.21,0.765,0.025,626.94,628.68,626.2200000000001,0.4137931034482511,0.414,TARGET,19,626.22,4.75,578.64
60,2026-02-26 13:55,ETHUSDT,LondonNyOverlap,8,0.0038093855127180674,252.84000000000003,-434.9829999999998,1.7203883879133037,2.625028557739288,-2810.9549999999995,0.149,0.848,0.003,2062.98,2073.31,2057.57,0.5237173281703671,0.524,TARGET,12,2057.57,6.06,584.7
61,2026-02-27 09:21,XRPUSDT,London,8,0.002106002106002186,352676.9,-242574.1,0.6878083027269435,3.57565511220148,-116849.80000000005,0.235,0.608,0.157,1.4215,1.4247,1.4186999999999999,0.8750000000000173,0.875,TARGET,2,1.4187,10.23,594.93
62,2026-02-27 09:54,ETHUSDT,London,8,0.004582436643588827,5193.089000000002,-10134.849999999999,1.9516033713267757,2.6520284276483306,-2587.8550000000005,0.31,0.578,0.112,2008.68,2018.16,1999.72,0.9451476793248965,0.945,TARGET,17,1999.72,11.24,606.18
